sid,name,ticker,type,slug,isin
SERO,Servotech Renewable Power System Ltd,SERVOTECH,stock,/stocks/servotech-power-systems-SERO,INE782X01033
SHEF,Sheela Foam Ltd,SFL,stock,/stocks/sheela-foam-SHEF,INE916U01025
SHUL,Shubhlaxmi Jewel Art Ltd,SHUBHLAXMI,stock,/stocks/shubhlaxmi-jewel-art-SHUL,INE01Z401013
SLIN,Solar Industries India Ltd,SOLARINDS,stock,/stocks/solar-industries-india-SLIN,INE343H01029
SOMA,Soma Textiles & Industries Ltd,SOMATEX,stock,/stocks/soma-textiles-and-industries-SOMA,INE314C01013
SKSG,Sakthi Sugars Ltd,SAKHTISUG,stock,/stocks/sakthi-sugars-SKSG,INE623A01011
SAKS,Saksoft Ltd,SAKSOFT,stock,/stocks/saksoft-SAKS,INE667G01023
SATR,Satin Creditcare Network Ltd,SATIN,stock,/stocks/satin-creditcare-network-SATR,INE836B01017
SECC,SecUR Credentials Ltd,SECURCRED,stock,/stocks/secur-credentials-SECC,INE195Y01010
SSHA,Seshasayee Paper and Boards Ltd,SESHAPAPER,stock,/stocks/seshasayee-paper-and-boards-SSHA,INE630A01024
SETC,Setco Automotive Ltd,SETCO,stock,/stocks/setco-automotive-SETC,INE878E01021
SAIV,Shaival Reality Ltd,SHAIVAL,stock,/stocks/shaival-reality-SAIV,INE262S01010
SSPW,S & S Power Switchgear Ltd,S&SPOWER,stock,/stocks/s-and-s-power-switchgear-SSPW,INE902B01017
SCHA,S Chand and Company Ltd,SCHAND,stock,/stocks/s-chand-and-company-SCHA,INE807K01035
SDB,Som Distilleries and Breweries Ltd,SDBL,stock,/stocks/som-distilleries-and-breweries-SDB,INE480C01038
SEZA,Sejal Glass Ltd,SEJALLTD,stock,/stocks/sejal-glass-SEZA,INE955I01044
SHTE,Shiva Texyarn Ltd,SHIVATEX,stock,/stocks/shiva-texyarn-SHTE,INE705C01020
SECR,SIS Ltd,SIS,stock,/stocks/security-and-intelligence-services-india-SECR,INE285J01028
SAFA,Safari Industries (India) Ltd,SAFARI,stock,/stocks/safari-industries-india-SAFA,INE429E01023
SAEM,Sarda Energy & Minerals Ltd,SARDAEN,stock,/stocks/sarda-energy-and-minerals-SAEM,INE385C01021
SAOL,Savita Oil Technologies Ltd,SOTL,stock,/stocks/savita-oil-technologies-SAOL,INE035D01020
SPEN,Spencer's Retail Ltd,SPENCERS,stock,/stocks/spencers-retail-SPEN,INE020801028
SGRC,Sagar Cements Ltd,SAGCEM,stock,/stocks/sagar-cements-SGRC,INE229C01021
SALA,Salasar Techno Engineering Ltd,SALASAR,stock,/stocks/salasar-techno-engineering-SALA,INE170V01027
SAST,Sastasundar Ventures Ltd,SASTASUNDR,stock,/stocks/sastasundar-ventures-SAST,INE019J01013
SHAA,Shah Alloys Ltd,SHAHALLOYS,stock,/stocks/shah-alloys-SHAA,INE640C01011
SHAD,Sharda Motor Industries Ltd,SHARDAMOTR,stock,/stocks/sharda-motor-industries-SHAD,INE597I01028
SPRC,Sun Pharma Advanced Research Co Ltd,SPARC,stock,/stocks/sun-pharma-advanced-research-co-SPRC,INE232I01014
SUTI,Sutlej Textiles and Industries Ltd,SUTLEJTEX,stock,/stocks/sutlej-textiles-and-industries-SUTI,INE645H01027
SUPM,Supreme (India) Impex Ltd,SIIL,stock,/stocks/supreme-india-impex-SUPM,INE971P01012
SILL,Silly Monks Entertainment Ltd,SILLYMONKS,stock,/stocks/silly-monks-entertainment-SILL,INE203Y01012
SICR,Sirca Paints India Ltd,SIRCA,stock,/stocks/sirca-paints-india-SICR,INE792Z01011
SITI,Siti Networks Ltd,SITINET,stock,/stocks/siti-networks-SITI,INE965H01011
SOCE,Somany Ceramics Ltd,SOMANYCERA,stock,/stocks/somany-ceramics-SOCE,INE355A01028
SOMI,Somi Conveyor Beltings Ltd,SOMICONVEY,stock,/stocks/somi-conveyor-beltings-SOMI,INE323J01019
SOFT,Sonata Software Ltd,SONATSOFTW,stock,/stocks/sonata-software-SOFT,INE269A01021
SIBK,South Indian Bank Ltd,SOUTHBANK,stock,/stocks/south-indian-bank-SIBK,INE683A01023
STWH,Steel Strips Wheels Ltd,SSWL,stock,/stocks/steel-strips-wheels-STWH,INE802C01033
SUMH,Sumitomo Chemical India Ltd,SUMICHEM,stock,/stocks/sumitomo-chemical-india-SUMH,INE258G01013
SPRH,Super House Ltd,SUPERHOUSE,stock,/stocks/super-house-SPRH,INE712B01010
SREE,Sreeleathers Ltd,SREEL,stock,/stocks/sreeleathers-SREE,INE099F01013
STTL,Sterling Tools Ltd,STERTOOLS,stock,/stocks/sterling-tools-STTL,INE334A01023
SNFN,Sundaram Finance Ltd,SUNDARMFIN,stock,/stocks/sundaram-finance-SNFN,INE660A01013
SURR,Surya Roshni Ltd,SURYAROSNI,stock,/stocks/surya-roshni-SURR,INE335A01020
SWAR,Swaraj Engines Ltd,SWARAJENG,stock,/stocks/swaraj-engines-SWAR,INE277A01016
SKIL,Skil Infrastructure Ltd,SKIL,stock,/stocks/skil-infrastructure-SKIL,INE429F01012
STEL,STEL Holdings Ltd,STEL,stock,/stocks/stel-holdings-STEL,INE577L01016
SUPG,Supreme Engineering Ltd,SUPREMEENG,stock,/stocks/supreme-engineering-SUPG,INE319Z01021
SUVP,Suven Life Sciences Ltd,SUVEN,stock,/stocks/suven-life-sciences-SUVP,INE495B01038
SWAN,Swan Corp Ltd,SWANCORP,stock,/stocks/swan-energy-SWAN,INE665A01038
SPJT,Spicejet Ltd,SPICEJET,stock,/stocks/spicejet-SPJT,INE285B01017
SUMM,Summit Securities Ltd,SUMMITSEC,stock,/stocks/summit-securities-SUMM,INE519C01017
SIIL,Supreme Infrastructure India Ltd,SUPREMEINF,stock,/stocks/supreme-infrastructure-india-SIIL,INE550H01011
SYMP,Symphony Ltd,SYMPHONY,stock,/stocks/symphony-SYMP,INE225D01027
SICI,Sicagen India Ltd,SICAGEN,stock,/stocks/sicagen-india-SICI,INE176J01011
SMSP,SMS Pharmaceuticals Ltd,SMSPHARMA,stock,/stocks/sms-pharmaceuticals-SMSP,INE812G01025
SRID,Strides Pharma Science Ltd,STAR,stock,/stocks/strides-pharma-science-SRID,INE939A01011
SUBX,Subex Ltd,SUBEXLTD,stock,/stocks/subex-SUBX,INE754A01055
SUMP,Sundaram Multi Pap Ltd,SUNDARAM,stock,/stocks/sundaram-multi-pap-SUMP,INE108E01023
SUN,Sun Pharmaceutical Industries Ltd,SUNPHARMA,stock,/stocks/sun-pharmaceutical-industries-SUN,INE044A01036
